step,train_loss,val_loss,lr,tokens_per_sec
9460,3.3147,,0.000197,91061
9480,3.3131,,0.000196,91070
9500,3.3257,,0.000195,91063
9500,3.3149,3.3220,0.000195,
9520,3.3334,,0.000194,91596
9540,3.3042,,0.000193,91016
9560,3.3328,,0.000192,91052
9580,3.3420,,0.000191,91074
9600,3.3256,,0.000190,91061
9600,3.3156,3.3327,0.000190,
9620,3.2978,,0.000189,91571
9640,3.3248,,0.000187,91018
9660,3.3342,,0.000186,91067
9680,3.3286,,0.000185,91063
9700,3.3071,,0.000184,91064
9700,3.2986,3.2996,0.000184,
9720,3.2769,,0.000183,91018
9740,3.2904,,0.000182,90924
9760,3.2715,,0.000181,90773
9780,3.3295,,0.000180,91068
9800,3.2865,,0.000179,91067
9800,3.3157,3.3403,0.000179,
9820,3.3115,,0.000178,91661
9840,3.2809,,0.000177,91001
9860,3.2933,,0.000176,90951
9880,3.3329,,0.000175,91070
9900,3.3153,,0.000174,91057
9900,3.3112,3.2930,0.000174,
9920,3.3029,,0.000173,92066
9940,3.3219,,0.000172,90868
9960,3.3243,,0.000171,90689
9980,3.3184,,0.000170,91084
10000,3.3233,,0.000169,91073
10000,3.2947,3.3016,0.000169,
10020,3.2738,,0.000168,91167
10040,3.3209,,0.000167,91012
10060,3.2941,,0.000166,90944
10080,3.2857,,0.000165,91077
10100,3.3509,,0.000164,91073
10100,3.3025,3.3222,0.000164,
10120,3.3332,,0.000163,91675
10140,3.3280,,0.000162,91017
10160,3.2479,,0.000161,91059
10180,3.2883,,0.000160,91073
10200,3.3076,,0.000159,91057
10200,3.2855,3.3359,0.000159,
10220,3.2773,,0.000158,91611
10240,3.3467,,0.000157,90892
10260,3.3500,,0.000156,90923
10280,3.2901,,0.000155,91078
10300,3.2639,,0.000154,91064
10300,3.2915,3.3468,0.000154,
10320,3.3126,,0.000153,91257
10300,3.3236,,0.000154,17135
10300,3.2654,3.3388,0.000154,
10320,3.2657,,0.000153,51994
10340,3.2204,,0.000152,90265
10360,3.2264,,0.000151,89679
10380,3.1863,,0.000150,90947
10400,3.2260,,0.000149,91085
10400,3.2717,3.2935,0.000149,
10420,3.2286,,0.000148,52226
10440,3.2359,,0.000147,90490
10460,3.2086,,0.000147,89572
10480,3.1935,,0.000146,91107
10500,3.1675,,0.000145,90532
10500,3.2720,3.3211,0.000145,
10520,3.1910,,0.000144,51458
10540,3.2244,,0.000143,90343
10560,3.2726,,0.000142,88805
10580,3.2667,,0.000141,89823
10600,3.2252,,0.000140,91096
10600,3.2605,3.3179,0.000140,
10620,3.2727,,0.000139,52222
10640,3.2917,,0.000138,91018
10660,3.2329,,0.000138,89028
10680,3.2071,,0.000137,89578
10700,3.2457,,0.000136,91107
10700,3.2844,3.3011,0.000136,
10720,3.2259,,0.000135,52560
10740,3.2280,,0.000134,90389
10760,3.1998,,0.000133,88846
10780,3.2702,,0.000132,89820
10800,3.2270,,0.000131,91093
10800,3.2966,3.3010,0.000131,
10820,3.2815,,0.000131,52476
10840,3.2197,,0.000130,91048
10860,3.2515,,0.000129,88956
10880,3.2357,,0.000128,89575
10900,3.2259,,0.000127,91104
10900,3.2592,3.2994,0.000127,
10920,3.2772,,0.000126,52561
10940,3.2965,,0.000126,90769
10960,3.2389,,0.000125,88935
10980,3.2070,,0.000124,89827
11000,3.2086,,0.000123,91091
11000,3.2756,3.3108,0.000123,
11020,3.2398,,0.000122,53956
11040,3.2401,,0.000122,90935
11060,3.2259,,0.000121,88900
11080,3.2269,,0.000120,89702
11100,3.2676,,0.000119,91101
11100,3.2740,3.2924,0.000119,
11120,3.2038,,0.000118,54913
11140,3.2493,,0.000118,90619
11160,3.2767,,0.000117,51713
11180,3.1769,,0.000116,91029
11200,3.2520,,0.000115,90939
11200,3.2781,3.3160,0.000115,
11220,3.2809,,0.000115,90993
11240,3.2538,,0.000114,73570
11260,3.2050,,0.000113,90793
11280,3.2203,,0.000112,90774
11300,3.2515,,0.000112,91087
11300,3.2457,3.2761,0.000112,
11320,3.1978,,0.000111,64646
11340,3.2497,,0.000110,90664
11360,3.2711,,0.000109,89040
11380,3.2098,,0.000109,52304
11400,3.2249,,0.000108,91029
11400,3.2471,3.2849,0.000108,
11420,3.2078,,0.000107,52966
11440,3.1780,,0.000107,91301
11460,3.2013,,0.000106,89318
11480,3.2072,,0.000105,90176
11500,3.2071,,0.000104,91090
11500,3.2678,3.2844,0.000104,
11520,3.2234,,0.000104,92500
11540,3.2390,,0.000103,61859
11560,3.2365,,0.000102,89173
11580,3.2243,,0.000102,89828
11600,3.2051,,0.000101,91089
11600,3.2410,3.2858,0.000101,
11620,3.1876,,0.000100,54383
11640,3.1885,,0.000100,90945
11660,3.2089,,0.000099,88948
11680,3.1705,,0.000098,89813
11700,3.2373,,0.000098,91097
11700,3.2524,3.3054,0.000098,
11720,3.2138,,0.000097,91543
11740,3.2622,,0.000096,91008
11760,3.2141,,0.000096,91049
11780,3.2419,,0.000095,91072
11800,3.2158,,0.000095,91059
11800,3.2623,3.2946,0.000095,
11820,3.1765,,0.000094,59067
11840,3.2009,,0.000093,91146
11860,3.2743,,0.000093,89057
11880,3.1760,,0.000092,90327
11900,3.2257,,0.000092,91092
11900,3.2669,3.2689,0.000092,
11920,3.2221,,0.000091,92601
11940,3.2380,,0.000090,64804
11960,3.2219,,0.000090,88822
11980,3.1944,,0.000089,90226
12000,3.1580,,0.000089,91079
12000,3.2467,3.2920,0.000089,
12020,3.2151,,0.000088,92222
12040,3.1970,,0.000088,90972
12060,3.2073,,0.000087,90702
12080,3.2218,,0.000087,91072
12100,3.1990,,0.000086,91065
12100,3.2576,3.2776,0.000086,
12120,3.1886,,0.000085,91838
12140,3.1887,,0.000085,91014
12160,3.1531,,0.000084,91058
12180,3.1858,,0.000084,91071
12200,3.1849,,0.000083,91054
12200,3.2457,3.2892,0.000083,
12220,3.2435,,0.000083,91420
12240,3.1897,,0.000082,91019
12260,3.1814,,0.000082,91051
12280,3.1500,,0.000081,91072
12300,3.1546,,0.000081,91061
12300,3.2184,3.2921,0.000081,
12320,3.2013,,0.000080,91340
12340,3.1838,,0.000080,91033
12360,3.1733,,0.000079,91038
12380,3.1650,,0.000079,91069
12400,3.1761,,0.000079,91067
12400,3.2399,3.2827,0.000079,
12420,3.1365,,0.000078,53342
12440,3.1838,,0.000078,89404
12460,3.2251,,0.000077,88732
12480,3.1945,,0.000077,90311
12500,3.1908,,0.000076,91105
12500,3.2617,3.2863,0.000076,
12520,3.1849,,0.000076,92655
12540,3.1991,,0.000075,90879
12560,3.2306,,0.000075,90307
12580,3.1403,,0.000075,91073
12600,3.2116,,0.000074,91074
12600,3.2228,3.2673,0.000074,
12620,3.2619,,0.000074,53816
12640,3.1963,,0.000073,90384
12660,3.1482,,0.000073,88705
12680,3.1465,,0.000073,90566
12700,3.1728,,0.000072,91090
12700,3.2404,3.2453,0.000072,
12720,3.2659,,0.000072,92484
12740,3.2385,,0.000072,90737
12760,3.2005,,0.000071,89557
12780,3.1937,,0.000071,89507
12800,3.1334,,0.000070,91038
12800,3.2190,3.2658,0.000070,
12820,3.1878,,0.000070,91083
12840,3.1830,,0.000070,90575
12860,3.1279,,0.000069,91064
12880,3.1714,,0.000069,91065
12900,3.2073,,0.000069,91060
12900,3.2229,3.2810,0.000069,
12920,3.2065,,0.000068,91688
12940,3.1916,,0.000068,91004
12960,3.2015,,0.000068,90946
12980,3.1684,,0.000068,91070
13000,3.1922,,0.000067,91065
13000,3.2227,3.2992,0.000067,
13020,3.1815,,0.000067,91631
13040,3.2371,,0.000067,91000
13060,3.1709,,0.000066,90947
